,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
7338,Ruoqiang,Hydro,Pumped Storage,PP,CN,334.2583325751372,,,0.0,0.0,0.0,2009.246935201401,2009.246935201401,2109.2469352014014,39.0186,88.1656,{nan},"{'GEM': {'G604767'}, 'GHPT': {'G604767'}}"
7339,Saduo,Hydro,Run-Of-River,PP,CN,238.42164546862531,,,0.0,0.0,0.0,2014.0,2014.0,2114.0,27.9014,100.4619,{nan},"{'GEM': {'G601120'}, 'GHPT': {'G601120'}}"
7340,Saizhu,Hydro,Reservoir,PP,CN,115.804799227618,,,0.0,0.0,0.0,2008.0,2008.0,2108.0,25.9506,102.7344,{nan},"{'GEM': {'G601121'}, 'GHPT': {'G601121'}}"
7341,Salikete,Hydro,Reservoir,PP,CN,90.82729351185726,,,0.0,0.0,0.0,2012.0,2012.0,2112.0,43.7201,83.8617,{nan},"{'GEM': {'G601122'}, 'GHPT': {'G601122'}}"
7342,Sanbanxi,Hydro,Reservoir,PP,CN,1135.3411688982158,,,0.0,0.0,0.0,2006.0,2006.0,2106.0,26.603,109.0481,{nan},"{'GEM': {'G601123'}, 'GHPT': {'G601123'}}"
7343,Sanmenxia,Hydro,Reservoir,PP,CN,454.1364675592863,,,0.0,0.0,0.0,1973.0,1973.0,2073.0,34.8294,111.3447,{nan},"{'GEM': {'G601125'}, 'GHPT': {'G601125'}}"
7344,Qujiang,Hydro,Pumped Storage,PP,CN,191.00476147150698,,,0.0,0.0,0.0,2027.0,2027.0,2127.0,29.0,120.0,{nan},"{'GEM': {'G604753'}, 'GHPT': {'G604753'}}"
7345,Sanxikou,Hydro,Reservoir,PP,CN,113.53411688982158,,,0.0,0.0,0.0,2014.0,2014.0,2114.0,28.011,120.2227,{nan},"{'GEM': {'G601126'}, 'GHPT': {'G601126'}}"
7346,Se Ergu,Hydro,Reservoir,PP,CN,170.30117533473236,,,0.0,0.0,0.0,2009.0,2009.0,2109.0,31.9382,103.4194,{nan},"{'GEM': {'G601127'}, 'GHPT': {'G601127'}}"
7347,Shangtongba,Hydro,Reservoir,PP,CN,272.4818805355718,,,0.0,0.0,0.0,2017.0,2017.0,2117.0,28.9434,100.8552,{nan},"{'GEM': {'G601132'}, 'GHPT': {'G601132'}}"
7348,Shangyi,Hydro,Pumped Storage,PP,CN,222.83888838342483,,,0.0,0.0,0.0,2026.0,2026.0,2126.0,40.8719,114.243,{nan},"{'GEM': {'G604798'}, 'GHPT': {'G604798'}}"
7349,Shangzhi,Hydro,Pumped Storage,PP,CN,191.00476147150698,,,0.0,0.0,0.0,2009.246935201401,2009.246935201401,2109.2469352014014,45.4294,127.9014,{nan},"{'GEM': {'G601133'}, 'GHPT': {'G601133'}}"
7350,Shankou,Hydro,Reservoir,PP,CN,160.08310481464844,,,0.0,0.0,0.0,2009.0,2009.0,2109.0,43.3948,82.4885,{nan},"{'GEM': {'G601134'}, 'GHPT': {'G601134'}}"
7351,Shannipo,Hydro,Reservoir,PP,CN,211.17345741506813,,,0.0,0.0,0.0,2015.0,2015.0,2115.0,26.2372,104.8245,{nan},"{'GEM': {'G601136'}, 'GHPT': {'G601136'}}"
7352,Quxue,Hydro,Reservoir,PP,CN,279.2939275489611,,,0.0,0.0,0.0,2017.0,2017.0,2117.0,28.4467,99.3646,{nan},"{'GEM': {'G601113'}, 'GHPT': {'G601113'}}"
7353,Queruduo,Hydro,Run-Of-River,PP,CN,171.43651650363057,,,0.0,0.0,0.0,2009.246935201401,2009.246935201401,2109.2469352014014,29.0659,100.6872,{nan},"{'GEM': {'G604752'}, 'GHPT': {'G604752'}}"
7354,Qiamusa,Hydro,Run-Of-River,PP,CN,230.4742572863378,,,0.0,0.0,0.0,2019.0,2019.0,2119.0,37.985,76.8646,{nan},"{'GEM': {'G601091'}, 'GHPT': {'G601091'}}"
7355,Qilinsi,Hydro,Reservoir,PP,CN,126.02286974770195,,,0.0,0.0,0.0,2008.0,2008.0,2108.0,32.7496,105.2426,{nan},"{'GEM': {'G601098'}, 'GHPT': {'G601098'}}"
